name,id
Aldgate East Underground Station,1000004
Aldgate Underground Station,1000003
Angel Underground Station,1000007
Baker Street Underground Station,1000011
Bank DLR Station,1000013
Bank Underground Station,1000013
Barbican Underground Station,1000014
Battersea Power Station Underground Station,1002195
Bayswater Underground Station,1000018
Blackfriars Underground Station,1000023
Bond Street Underground Station,1000025
Borough Underground Station,1000026
Cannon Street Underground Station,1000040
Chancery Lane Underground Station,1000044
Charing Cross Underground Station,1000045
Covent Garden Underground Station,1000056
Edgware Road (Bakerloo) Underground Station,1000071
Edgware Road (Circle Line) Underground Station,1000072
Embankment Underground Station,1000075
Euston Square Underground Station,1000078
Euston Underground Station,1000077
Farringdon Underground Station,1000080
Gloucester Road Underground Station,1000086
Goodge Street Underground Station,1000089
Great Portland Street Underground Station,1000091
Green Park Underground Station,1000093
High Street Kensington Underground Station,1000110
Holborn Underground Station,1000112
Hyde Park Corner Underground Station,1000119
King's Cross St. Pancras Underground Station,1000129
Knightsbridge Underground Station,1000130
Lambeth North Underground Station,1000132
Lancaster Gate Underground Station,1000133
Leicester Square Underground Station,1000135
Liverpool Street Underground Station,1000138
London Bridge Underground Station,1000139
Mansion House Underground Station,1000143
Marble Arch Underground Station,1000144
Marylebone Underground Station,1000145
Monument Underground Station,1000148
Moorgate Underground Station,1000149
Nine Elms Underground Station,1002196
Old Street Underground Station,1000169
Oxford Circus Underground Station,1000173
Paddington (H&C Line)-Underground,1000175
Paddington Underground Station,1000174
Piccadilly Circus Underground Station,1000179
Pimlico Underground Station,1000180
Queensway Underground Station,1000187
Regent's Park Underground Station,1000191
Russell Square Underground Station,1000200
Sloane Square Underground Station,1000206
South Kensington Underground Station,1000212
Southwark Underground Station,1000215
St. James's Park Underground Station,1000221
St. Paul's Underground Station,1000225
Temple Underground Station,1000231
Tottenham Court Road Underground Station,1000235
Tower Gateway DLR Station,1002076
Tower Hill Underground Station,1000238
Victoria Underground Station,1000248
Warren Street Underground Station,1000252
Waterloo Underground Station,1000254
Westminster Underground Station,1000266
